title;category_0;category_1;price;weight;color;country
Экран для радиатора Сусанна 60х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;474;1.414;Сонома;Россия
Экран для радиатора Сусанна 90х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;570;2;Сонома;Россия
Экран для радиатора Дамаско 60х60 см, цвет венге;Декоративные элементы для дома;Столярные изделия;474;1.472;Венге;Россия
Крышка для экрана универсальная 60 см, цвет дуб серый;Декоративные элементы для дома;Столярные изделия;302;0.44;Дуб серый;Россия
Экран для радиатора Конструктор 50х60 см, цвет белый;Декоративные элементы для дома;Столярные изделия;458;1.394;Белый;Россия
Экран для радиатора Лотос 60х120 см цвет белый;Декоративные элементы для дома;Столярные изделия;826;1.77;Белый;Россия
Экран для радиатора Цветы 120х60 см, цвет белый;Декоративные элементы для дома;Столярные изделия;1 177;3.385;Белый;Россия
Экран для радиатора Мишки 120х60 см, цвет белый;Декоративные элементы для дома;Столярные изделия;1 177;3.342;Белый;Россия
Решётка декоративная 50x200 см;Декоративные элементы для дома;Столярные изделия;1 991;5.9;;Россия
Панель Глория 60x120 см без отделки;Декоративные элементы для дома;Столярные изделия;530;1.15;БЕЗ ОТД.;Россия
Экран для радиатора Цветы 90х60 см, цвет сонома;Декоративные элементы для дома;Столярные изделия;872;2.35;Сонома;Россия
Экран для радиатора 60х60 см, ПВХ, цвет белый;Декоративные элементы для дома;Столярные изделия;180;1.06;Белый;Россия
Экран для радиатора Дамаско 60х60 см, цвет белый;Декоративные элементы для дома;Столярные изделия;452;1.504;Белый;Россия
Решётка декоративная 60x200 см;Декоративные элементы для дома;Столярные изделия;2 394;4.635;;Россия
Решётка декоративная 80x200 см;Декоративные элементы для дома;Столярные изделия;3 211;6.6;;Россия
